origem,destino,tipo_conexao,justificativa,peso
SBAE,SBCF,intrarregional,voo dentro da região Sudeste com 1 operação em jan/2026,1.4427
SBAE,SBKP,intrarregional,voo dentro da região Sudeste com 31 operações em jan/2026,0.2885
SBAE,SBMO,interregional,voo de Sudeste para Nordeste com 9 operações em jan/2026,0.4343
SBAE,SBPS,interregional,voo de Sudeste para Nordeste com 5 operações em jan/2026,0.5581
SBAE,SBRF,interregional,voo de Sudeste para Nordeste com 5 operações em jan/2026,0.5581
SBAQ,SBKP,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBAR,SBBR,interregional,voo de Nordeste para Centro-Oeste com 35 operações em jan/2026,0.2791
SBAR,SBCF,interregional,voo de Nordeste para Sudeste com 31 operações em jan/2026,0.2885
SBAR,SBGL,interregional,voo de Nordeste para Sudeste com 48 operações em jan/2026,0.2569
SBAR,SBGR,interregional,voo de Nordeste para Sudeste com 161 operações em jan/2026,0.1966
SBAR,SBKP,interregional,voo de Nordeste para Sudeste com 31 operações em jan/2026,0.2885
SBAR,SBRF,intrarregional,voo dentro da região Nordeste com 61 operações em jan/2026,0.2423
SBAR,SBSP,interregional,voo de Nordeste para Sudeste com 77 operações em jan/2026,0.2295
SBAR,SBSV,intrarregional,voo dentro da região Nordeste com 58 operações em jan/2026,0.2452
SBAR,SBTE,intrarregional,voo dentro da região Nordeste com 1 operação em jan/2026,1.4427
SBAT,SBKP,interregional,voo de Centro-Oeste para Sudeste com 12 operações em jan/2026,0.3899
SBAU,SBKP,intrarregional,voo dentro da região Sudeste com 31 operações em jan/2026,0.2885
SBAU,SBPA,interregional,voo de Sudeste para Sul com 1 operação em jan/2026,1.4427
SBAU,SBSP,intrarregional,voo dentro da região Sudeste com 17 operações em jan/2026,0.346
SBAX,SBCF,intrarregional,voo dentro da região Sudeste com 16 operações em jan/2026,0.353
SBBE,SBBR,interregional,voo de Norte para Centro-Oeste com 126 operações em jan/2026,0.2064
SBBE,SBCF,interregional,voo de Norte para Sudeste com 80 operações em jan/2026,0.2276
SBBE,SBCJ,intrarregional,voo dentro da região Norte com 35 operações em jan/2026,0.2791
SBBE,SBCY,interregional,voo de Norte para Centro-Oeste com 1 operação em jan/2026,1.4427
SBBE,SBEG,intrarregional,voo dentro da região Norte com 71 operações em jan/2026,0.2338
SBBE,SBFZ,interregional,voo de Norte para Nordeste com 113 operações em jan/2026,0.2111
SBBE,SBGL,interregional,voo de Norte para Sudeste com 63 operações em jan/2026,0.2404
SBBE,SBGR,interregional,voo de Norte para Sudeste com 231 operações em jan/2026,0.1836
SBBE,SBHT,intrarregional,voo dentro da região Norte com 31 operações em jan/2026,0.2885
SBBE,SBKP,interregional,voo de Norte para Sudeste com 93 operações em jan/2026,0.2201
SBBE,SBMA,intrarregional,voo dentro da região Norte com 45 operações em jan/2026,0.2612
SBBE,SBMD,intrarregional,voo dentro da região Norte com 8 operações em jan/2026,0.4551
SBBE,SBMQ,intrarregional,voo dentro da região Norte com 122 operações em jan/2026,0.2078
SBBE,SBOI,intrarregional,voo dentro da região Norte com 39 operações em jan/2026,0.2711
SBBE,SBPJ,intrarregional,voo dentro da região Norte com 1 operação em jan/2026,1.4427
SBBE,SBRF,interregional,voo de Norte para Nordeste com 62 operações em jan/2026,0.2414
SBBE,SBSL,interregional,voo de Norte para Nordeste com 31 operações em jan/2026,0.2885
SBBE,SBSN,intrarregional,voo dentro da região Norte com 79 operações em jan/2026,0.2282
SBBE,SBTU,intrarregional,voo dentro da região Norte com 15 operações em jan/2026,0.3607
SBBE,SDOW,intrarregional,voo dentro da região Norte com 5 operações em jan/2026,0.5581
SBBE,SNEB,intrarregional,voo dentro da região Norte com 1 operação em jan/2026,1.4427
SBBE,SNMZ,intrarregional,voo dentro da região Norte com 1 operação em jan/2026,1.4427
SBBE,SNSM,intrarregional,voo dentro da região Norte com 9 operações em jan/2026,0.4343
SBBE,SNVS,intrarregional,voo dentro da região Norte com 9 operações em jan/2026,0.4343
SBBH,SBCF,intrarregional,voo dentro da região Sudeste com 6 operações em jan/2026,0.5139
SBBH,SBKP,intrarregional,voo dentro da região Sudeste com 2 operações em jan/2026,0.9102
SBBH,SBSP,intrarregional,voo dentro da região Sudeste com 1 operação em jan/2026,1.4427
SBBR,SBAR,interregional,voo de Centro-Oeste para Nordeste com 35 operações em jan/2026,0.2791
SBBR,SBBE,interregional,voo de Centro-Oeste para Norte com 124 operações em jan/2026,0.2071
SBBR,SBBV,interregional,voo de Centro-Oeste para Norte com 52 operações em jan/2026,0.2519
SBBR,SBCF,interregional,voo de Centro-Oeste para Sudeste com 238 operações em jan/2026,0.1826
SBBR,SBCG,intrarregional,voo dentro da região Centro-Oeste com 62 operações em jan/2026,0.2414
SBBR,SBCT,interregional,voo de Centro-Oeste para Sul com 123 operações em jan/2026,0.2075
SBBR,SBCY,intrarregional,voo dentro da região Centro-Oeste com 136 operações em jan/2026,0.2033
SBBR,SBEG,interregional,voo de Centro-Oeste para Norte com 145 operações em jan/2026,0.2007
SBBR,SBFI,interregional,voo de Centro-Oeste para Sul com 31 operações em jan/2026,0.2885
SBBR,SBFL,interregional,voo de Centro-Oeste para Sul com 92 operações em jan/2026,0.2206
