regiao_origem,regiao_destino,quantidade_voos
Centro-Oeste,Centro-Oeste,865
Centro-Oeste,Nordeste,1423
Centro-Oeste,Norte,686
Centro-Oeste,Sudeste,4119
Centro-Oeste,Sul,453
Nordeste,Centro-Oeste,1426
Nordeste,Nordeste,3661
Nordeste,Norte,332
Nordeste,Sudeste,9382
Nordeste,Sul,170
Norte,Centro-Oeste,688
Norte,Nordeste,329
Norte,Norte,1717
Norte,Sudeste,1236
Norte,Sul,42
Sudeste,Centro-Oeste,4120
Sudeste,Nordeste,9346
Sudeste,Norte,1231
Sudeste,Sudeste,14214
Sudeste,Sul,6935
Sul,Centro-Oeste,451
Sul,Nordeste,171
Sul,Norte,40
Sul,Sudeste,6984
Sul,Sul,1148
