icao,cidade,regiao,lat,lon
SBAE,Bauru,Sudeste,-22.15783,-49.06833
SBAQ,Araraquara,Sudeste,-21.812,-48.133
SBAR,Aracaju,Nordeste,-10.984,-37.0703
SBAT,Alta Floresta,Centro-Oeste,-9.86639,-56.105
SBAU,Aracatuba,Sudeste,-21.1413,-50.4247
SBAX,Araxa,Sudeste,-19.5632,-46.9604
SBBE,Belem,Norte,-1.37925,-48.4763
SBBH,Belo Horizonte,Sudeste,-19.8512,-43.9506
SBBR,Brasilia,Centro-Oeste,-15.86917,-47.92083
SBBV,Boa Vista,Norte,2.84139,-60.69222
SBBW,Barra Do Garcas,Centro-Oeste,-15.8613,-52.3889
SBBZ,Cabo Frio,Sudeste,-22.771,-41.9629
SBCA,Cascavel,Sul,-25.0003,-53.5008
SBCF,Belo Horizonte,Sudeste,-19.62444,-43.97194
SBCG,Campo Grande,Centro-Oeste,-20.4687,-54.6725
SBCH,Chapeco,Sul,-27.1342,-52.6566
SBCJ,Carajas,Norte,-6.11528,-50.00139
SBCN,Caldas Novas,Centro-Oeste,-17.7253,-48.6075
SBCT,Curitiba,Sul,-25.5285,-49.1758
SBCX,Caxias Do Sul,Sul,-29.1971,-51.1875
SBCY,Cuiaba,Centro-Oeste,-15.6529,-56.1167
SBCZ,Cruzeiro Do Sul,Centro-Oeste,-7.59991,-72.7695
SBDB,Bonito,Centro-Oeste,-21.22944,-56.45611
SBDN,Presidente Prudente,Sudeste,-22.1751,-51.4246
SBDO,Dourados,Centro-Oeste,-22.2,-54.93
SBEG,Manaus,Norte,-3.03861,-60.0497
SBFI,Foz Do Iguacu,Sul,-25.60028,-54.485
SBFL,Florianopolis,Sul,-27.67028,-48.5525
SBFN,Fernando De Noronha,Nordeste,-3.85493,-32.4233
SBFZ,Fortaleza,Nordeste,-3.77628,-38.5326
SBGL,Rio De Janeiro,Sudeste,-22.81,-43.25056
SBGO,Goiania,Centro-Oeste,-16.632,-49.2207
SBGP,Gaviao Peixoto,Sudeste,-21.7737,-48.4051
SBGR,Sao Paulo,Sudeste,-23.43556,-46.47306
SBGV,Governador Valadares,Sudeste,-18.8952,-41.9822
SBHT,Altamira,Norte,-3.25391,-52.254
SBIH,Itaituba,Norte,-4.24234,-56.0007
SBIL,Ilheus,Nordeste,-14.816,-39.0332
SBIP,Ipatinga,Sudeste,-19.4707,-42.4876
SBIZ,Imperatriz,Nordeste,-5.53129,-47.46
SBJA,Jaguaruna,Sul,-28.67528,-49.06028
SBJD,Jundiai,Sudeste,-23.18037,-46.94441
SBJE,Jijoca de Jericoacoara (Cruz),Nordeste,-2.90667,-40.358
SBJI,Ji-Paraná,Norte,-10.87,-61.85
SBJP,Joao Pessoa,Nordeste,-7.14583,-34.94861
SBJR,Rio De Janeiro,Sudeste,-22.9875,-43.37
SBJU,Juazeiro Do Norte,Nordeste,-7.21896,-39.2701
SBJV,Joinville,Sul,-26.2245,-48.7974
SBKG,Campina Grande,Nordeste,-7.26992,-35.8964
SBKP,Campinas,Sudeste,-23.0074,-47.1345
SBLE,Lencois,Nordeste,-12.4823,-41.277
SBLO,Londrina,Sul,-23.3336,-51.1301
SBMA,Maraba,Norte,-5.36859,-49.138
SBMD,Almeirim,Norte,-0.88984,-52.6022
SBMG,Maringa,Sul,-23.47944,-52.01222
SBMK,Montes Claros,Sudeste,-16.7069,-43.8189
SBML,Marilia,Sudeste,-22.1969,-49.9264
SBMO,Maceio,Nordeste,-9.51081,-35.7917
SBMQ,Macapa,Norte,0.05066,-51.0722
SBMY,Manicore,Norte,-5.81138,-61.2783
SBNF,Navegantes,Sul,-26.88,-48.6514
SBNM,Santo Angelo,Sul,-28.2817,-54.1691
