origem,destino,tipo_conexao,quantidade
SBAE,SBAE,intrarregional,1
SBAE,SBCF,intrarregional,1
SBAE,SBKP,intrarregional,31
SBAE,SBMO,interregional,9
SBAE,SBPS,interregional,5
SBAE,SBRF,interregional,5
SBAQ,SBKP,intrarregional,13
SBAR,SBAR,intrarregional,1
SBAR,SBBR,interregional,35
SBAR,SBCF,interregional,31
SBAR,SBGL,interregional,48
SBAR,SBGR,interregional,161
SBAR,SBKP,interregional,31
SBAR,SBRF,intrarregional,61
SBAR,SBSP,interregional,77
SBAR,SBSV,intrarregional,58
SBAR,SBTE,intrarregional,1
SBAT,SBKP,interregional,12
SBAU,SBKP,intrarregional,31
SBAU,SBPA,interregional,1
SBAU,SBSP,intrarregional,17
SBAX,SBCF,intrarregional,16
SBBE,SBBE,intrarregional,6
SBBE,SBBR,interregional,126
SBBE,SBCF,interregional,80
SBBE,SBCJ,intrarregional,35
SBBE,SBCY,interregional,1
SBBE,SBEG,intrarregional,71
SBBE,SBFZ,interregional,113
SBBE,SBGL,interregional,63
SBBE,SBGR,interregional,231
SBBE,SBHT,intrarregional,31
SBBE,SBKP,interregional,93
SBBE,SBMA,intrarregional,45
SBBE,SBMD,intrarregional,8
SBBE,SBMQ,intrarregional,122
SBBE,SBOI,intrarregional,39
SBBE,SBPJ,intrarregional,1
SBBE,SBRF,interregional,62
SBBE,SBSL,interregional,31
SBBE,SBSN,intrarregional,79
SBBE,SBTU,intrarregional,15
SBBE,SDOW,intrarregional,5
SBBE,SNEB,intrarregional,1
SBBE,SNMZ,intrarregional,1
SBBE,SNSM,intrarregional,9
SBBE,SNVS,intrarregional,9
SBBH,SBCF,intrarregional,6
SBBH,SBKP,intrarregional,2
SBBH,SBSP,intrarregional,1
SBBR,SBAR,interregional,35
SBBR,SBBE,interregional,124
SBBR,SBBR,intrarregional,18
SBBR,SBBV,interregional,52
SBBR,SBCF,interregional,238
SBBR,SBCG,intrarregional,62
SBBR,SBCT,interregional,123
SBBR,SBCY,intrarregional,136
SBBR,SBEG,interregional,145
SBBR,SBFI,interregional,31
SBBR,SBFL,interregional,92
SBBR,SBFZ,interregional,168
SBBR,SBGL,interregional,194
SBBR,SBGO,intrarregional,128
SBBR,SBGR,interregional,393
SBBR,SBIL,interregional,1
SBBR,SBIZ,interregional,31
SBBR,SBJD,interregional,1
SBBR,SBJP,interregional,123
SBBR,SBKP,interregional,270
SBBR,SBMA,interregional,63
SBBR,SBMO,interregional,123
SBBR,SBMQ,interregional,31
SBBR,SBPA,interregional,153
SBBR,SBPJ,interregional,64
SBBR,SBPS,interregional,70
SBBR,SBPV,interregional,62
SBBR,SBRB,intrarregional,63
SBBR,SBRF,interregional,263
SBBR,SBRJ,interregional,376
SBBR,SBSG,interregional,93
SBBR,SBSI,intrarregional,31
SBBR,SBSL,interregional,76
SBBR,SBSN,interregional,31
SBBR,SBSP,interregional,568
SBBR,SBSV,interregional,199
SBBR,SBTE,interregional,93
SBBR,SBVT,interregional,93
SBBV,SBBR,interregional,54
SBBV,SBCT,interregional,1
SBBV,SBCY,interregional,1
SBBV,SBEG,intrarregional,32
SBBV,SBGR,interregional,9
SBBV,SBPJ,intrarregional,1
SBBW,SBCY,intrarregional,13
SBBZ,SBJD,intrarregional,1
SBCA,SBCA,intrarregional,1
SBCA,SBCT,intrarregional,32
SBCA,SBGR,interregional,66
SBCA,SBJP,interregional,5
SBCA,SBKP,interregional,58
SBCA,SBMO,interregional,9
SBCA,SBPS,interregional,4
SBCF,SBAR,interregional,33
SBCF,SBAX,intrarregional,15
SBCF,SBBE,interregional,81
SBCF,SBBH,intrarregional,3
SBCF,SBBR,interregional,244
SBCF,SBCF,intrarregional,41
SBCF,SBCJ,interregional,64
SBCF,SBCT,interregional,71
SBCF,SBCY,interregional,54
SBCF,SBEG,interregional,64
SBCF,SBFI,interregional,14
SBCF,SBFL,interregional,58
SBCF,SBFZ,interregional,81
SBCF,SBGL,intrarregional,211
SBCF,SBGO,interregional,101
SBCF,SBGR,intrarregional,425
SBCF,SBGV,intrarregional,56
SBCF,SBIL,interregional,48
SBCF,SBIP,intrarregional,115
SBCF,SBIZ,interregional,18
SBCF,SBJE,interregional,18
SBCF,SBJP,interregional,53
SBCF,SBJR,intrarregional,26
SBCF,SBKG,interregional,13
SBCF,SBKP,intrarregional,217
SBCF,SBMA,interregional,18
SBCF,SBMK,intrarregional,89
SBCF,SBMO,interregional,92
SBCF,SBMQ,interregional,1
SBCF,SBNF,interregional,8
SBCF,SBPA,interregional,139
SBCF,SBPJ,interregional,14
SBCF,SBPS,interregional,214
SBCF,SBPV,interregional,14
SBCF,SBRB,interregional,17
SBCF,SBRF,interregional,218
SBCF,SBRJ,intrarregional,182
SBCF,SBRP,intrarregional,31
SBCF,SBSG,interregional,58
SBCF,SBSL,interregional,31
SBCF,SBSP,intrarregional,592
SBCF,SBSR,intrarregional,27
SBCF,SBSV,interregional,204
SBCF,SBTC,interregional,4
SBCF,SBTE,interregional,31
SBCF,SBUL,intrarregional,115
